date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-10-29,benchmark_qqq,hold,0,0,0,,,333226.3544,23438127.0092,23771353.3636,19000000.0,4771353.3636,1
2021-10-29,benchmark_spy,hold,0,0,0,,,493985.9068,23052930.8211,23546916.7278,19000000.0,4546916.7278,1
2021-10-29,smic_follower,hold,0,0,0,,,2585.436,22297364.371,22299949.807,19000000.0,3299949.807,15
2021-10-29,smic_follower_v2,hold,0,0,0,,,9552.0024,19989594.1172,19999146.1197,19000000.0,999146.1197,12
2021-11-01,all_weather,buy,4,0,4,069500.KS|GLD|QQQ|SPY,rebalance_buy,340631.9613,21632166.1879,21972798.1491,20000000.0,1972798.1491,4
2021-11-01,benchmark_gld,buy,1,0,1,GLD,rebalance_buy,160312.7938,20066678.6304,20226991.4242,20000000.0,226991.4242,1
2021-11-01,benchmark_kodex200,buy,1,0,1,069500.KS,rebalance_buy,19471.7176,18907725.0,18927196.7176,20000000.0,-1072803.2824,1
2021-11-01,benchmark_qqq,buy,1,0,1,QQQ,rebalance_buy,422723.15,24569461.9813,24992185.1313,20000000.0,4992185.1313,1
2021-11-01,benchmark_spy,buy,1,0,1,SPY,rebalance_buy,412861.3449,24311780.4367,24724641.7816,20000000.0,4724641.7816,1
2021-11-01,smic_follower,buy,9,0,9,004020.KS|007690.KS|017650.KS|032640.KS|053030.KQ|060150.KQ|1833.HK|248070.KS|285490.KQ,rebalance_buy,4548.9189,22934480.4223,22939029.3412,20000000.0,2939029.3412,15
2021-11-01,smic_follower_v2,buy,7,0,7,004020.KS|007690.KS|032640.KS|060150.KQ|248070.KS|285490.KQ|344820.KQ,rebalance_buy,10027.9648,20804316.1465,20814344.1113,20000000.0,814344.1113,12
2021-11-02,all_weather,hold,0,0,0,,,340655.2762,21768447.5753,22109102.8516,20000000.0,2109102.8516,4
2021-11-02,benchmark_gld,hold,0,0,0,,,160323.7666,20060894.5261,20221218.2927,20000000.0,221218.2927,1
2021-11-02,benchmark_kodex200,hold,0,0,0,,,19473.0504,19159925.0,19179398.0504,20000000.0,-820601.9496,1
2021-11-02,benchmark_qqq,hold,0,0,0,,,422752.0839,24718204.255,25140956.3389,20000000.0,5140956.3389,1
2021-11-02,benchmark_spy,hold,0,0,0,,,412889.6037,24455594.2954,24868483.8992,20000000.0,4868483.8992,1
2021-11-02,smic_follower,hold,0,0,0,,,4549.2302,22869084.494,22873633.7243,20000000.0,2873633.7243,15
2021-11-02,smic_follower_v2,hold,0,0,0,,,10028.6512,20784236.4429,20794265.0941,20000000.0,794265.0941,12
2021-11-03,all_weather,hold,0,0,0,,,340678.5928,21757728.9334,22098407.5262,20000000.0,2098407.5262,4
2021-11-03,benchmark_gld,hold,0,0,0,,,160334.7401,19918937.6355,20079272.3756,20000000.0,79272.3756,1
2021-11-03,benchmark_kodex200,hold,0,0,0,,,19474.3832,18888325.0,18907799.3832,20000000.0,-1092200.6168,1
2021-11-03,benchmark_qqq,hold,0,0,0,,,422781.0197,25011815.7922,25434596.8119,20000000.0,5434596.8119,1
2021-11-03,benchmark_spy,hold,0,0,0,,,412917.8645,24635644.5776,25048562.4421,20000000.0,5048562.4421,1
2021-11-03,smic_follower,hold,0,0,0,,,4549.5416,22552294.3994,22556843.941,20000000.0,2556843.941,15
2021-11-03,smic_follower_v2,buy,1,0,1,148150.KQ,rebalance_buy,2374.3645,20467512.9051,20469887.2696,20000000.0,469887.2696,13
2021-11-04,all_weather,hold,0,0,0,,,340701.911,21963538.5571,22304240.4681,20000000.0,2304240.4681,4
2021-11-04,benchmark_gld,hold,0,0,0,,,160345.7145,20167066.4833,20327412.1978,20000000.0,327412.1978,1
2021-11-04,benchmark_kodex200,hold,0,0,0,,,19475.7162,18995025.0,19014500.7162,20000000.0,-985499.2838,1
2021-11-04,benchmark_qqq,hold,0,0,0,,,422809.9575,25360385.1819,25783195.1394,20000000.0,5783195.1394,1
2021-11-04,benchmark_spy,hold,0,0,0,,,412946.1272,24779053.2492,25191999.3764,20000000.0,5191999.3764,1
2021-11-04,smic_follower,hold,0,0,0,,,4549.853,22458055.7164,22462605.5695,20000000.0,2462605.5695,15
2021-11-04,smic_follower_v2,hold,0,0,0,,,2374.527,20391166.1453,20393540.6724,20000000.0,393540.6724,13
2021-11-05,all_weather,hold,0,0,0,,,340725.2308,22125167.6069,22465892.8377,20000000.0,2465892.8377,4
2021-11-05,benchmark_gld,hold,0,0,0,,,160356.6895,20542938.2502,20703294.9397,20000000.0,703294.9397,1
