source_file,school,report_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue
data\markdown\star\2026-03-14_STAR_실리콘투.md,star,2026-02-13,2026-03-14,KR,실리콘투,257720,KOSDAQ,Buy,64500.0,"64,500",64500.0,"64,500 원",,
data\markdown\star\2026-03-14_STAR_아스테라시스.md,star,2026-02-13,2026-03-14,KR,아스테라시스,450950,KOSDAQ,Buy,17780.0,"17,780",14440.0,"14,440",,
data\markdown\star\2026-03-14_STAR_아이센스.md,star,2026-02-13,2026-03-14,KR,아이센스,099190,KOSDAQ,Buy,35400.0,"35,400",23450.0,"23,450",,
data\markdown\star\2026-03-14_STAR_엔알비.md,star,2026-02-13,2026-03-14,KR,엔알비,475230,KOSDAQ,Buy,38600.0,"38,600",23650.0,"23,650",,
data\markdown\star\2026-03-14_STAR_엠앤씨솔루션.md,star,2026-02-13,2026-03-14,KR,엠앤씨솔루션,484870,KOSPI,Buy,257300.0,"257,300",135800.0,"135,800",,
data\markdown\star\2026-03-14_STAR_오스테오닉.md,star,2026-02-13,2026-03-14,KR,오스테오닉,226400,KOSDAQ,Buy,9250.0,"9,250",6700.0,"6,700",,
data\markdown\star\2026-03-14_STAR_일동제약.md,star,2025-04-10,2026-03-14,KR,일동제약,249420,KOSPI,Buy,59200.0,"59,200원",38500.0,"38,500",,
data\markdown\star\2026-03-14_STAR_진성티이씨.md,star,2026-02-13,2026-03-14,KR,진성티이씨,036890,KOSDAQ,Buy,27000.0,"27,000",16710.0,"16,710",,
data\markdown\star\2026-03-14_STAR_큐리옥스바이오시스템즈.md,star,2026-02-13,2026-03-14,KR,큐리옥스바이오시스템즈,445680,KOSDAQ,Buy,260500.0,"260,500",115600.0,"115,600",,
data\markdown\star\2026-03-14_STAR_크래프톤.md,star,2026-02-13,2026-03-14,KR,크래프톤,259960,KOSPI,Buy,352800.0,"352,800",258000.0,"258,000",,
data\markdown\star\2026-03-14_STAR_토모큐브.md,star,2026-02-13,2026-03-14,KR,토모큐브,475960,KOSDAQ,Buy,78200.0,"78,200",56000.0,"56,000",39.6,
data\markdown\star\2026-03-14_STAR_한화엔진.md,star,2026-01-15,2026-03-14,KR,한화엔진,082740,KOSPI,Buy,73700.0,"73,700",52600.0,"52,600",,
data\markdown\star\2026-03-25_STAR_코웨이.md,star,2025-08-07,2026-03-25,KR,코웨이,021240,KOSPI,Buy,140000.0,140.000,107900.0,"107,900",,
data\markdown\star\2026-05-02_STAR_선익시스템.md,star,2026-03-26,2026-05-02,KR,선익시스템,171090,KOSDAQ,Buy,173900.0,"173,900",95600.0,"95,600",,
data\markdown\star\2026-05-02_STAR_피에스케이홀딩스.md,star,2026-03-26,2026-05-02,KR,피에스케이홀딩스,031980,KOSDAQ,Buy,155200.0,"155,200",103100.0,"103,100",,
data\markdown\star\2026-05-03_STAR_이수페타시스.md,star,2026-03-26,2026-05-03,KR,이수페타시스,007660,KOSPI,Buy,176700.0,"176,700",120300.0,"120,300",,
data\markdown\star\2026-05-03_STAR_피에스케이.md,star,2026-03-26,2026-05-03,KR,피에스케이,319660,KOSDAQ,Buy,127800.0,"127,800",84200.0,"84,200",,
data\markdown\star\2026-05-04_STAR_에스티팜.md,star,2026-03-26,2026-05-04,KR,에스티팜,237690,KOSDAQ,Buy,224800.0,"224,800",159500.0,"159,500",,
data\markdown\star\2026-05-04_STAR_코오롱인더.md,star,2026-03-26,2026-05-04,KR,코오롱인더,120110,KOSDAQ,Buy,110400.0,"110,400",78800.0,"78,800",40.0,
